"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"ハンムラビ","はんむらび","最初の文明の時代","メソポタミア","法律を整えた王","バビロン第1王朝の王で、ハンムラビ法典を作らせました。争いを裁くきまりを石に刻み、王が社会をまとめる力を示しました。","📜","図鑑"
"クフ王","くふおう","最初の文明の時代","古代エジプト","大ピラミッドの時代の王","エジプト古王国の王で、ギザの大ピラミッドと結びつけられます。巨大な建築から、王権と多くの人の労働が分かります。","👑","図鑑"
"孔子","こうし","古代の大国の時代","中国","人の道を説いた思想家","春秋時代の思想家で、礼や思いやりを大切にしました。儒教の考えは、中国や東アジアの政治と学びに長く影響しました。","📘","図鑑"
"始皇帝","しこうてい","古代の大国の時代","中国","中国を統一した皇帝","秦の王として中国を統一し、文字や重さの基準をそろえました。強い政治でまとまりを作る一方、重い負担も生みました。","👑","図鑑"
"アレクサンドロス大王","あれくさんどろすだいおう","古代の大国の時代","ギリシャ・西アジア","東西を結んだ征服者","マケドニアの王として広い地域を征服しました。ギリシャ文化と西アジアの文化が出会い、ヘレニズム文化が広がりました。","🛡️","図鑑"
"アショーカ王","あしょーかおう","古代の大国の時代","インド","仏教を保護した王","マウリヤ朝の王で、戦争の反省から仏教を大切にしました。石柱に教えを刻ませ、平和や慈しみを政治に生かそうとしました。","🕊️","図鑑"
"イエス","いえす","宗教と文化が広がった時代","西アジア","キリスト教の中心となった人","愛やゆるしを説いた人物として伝えられ、キリスト教の中心になりました。その教えはのちに世界各地へ広がりました。","🕊️","図鑑"
"ムハンマド","むはんまど","宗教と文化が広がった時代","アラビア半島","イスラム教を始めた預言者","アラビア半島でイスラム教を説きました。神の前の平等や共同体の考えは、宗教だけでなく社会のしくみにも影響しました。","☪️","図鑑"
"玄奘","げんじょう","宗教と文化が広がった時代","中国・インド","仏教を学んだ旅の僧","唐からインドへ旅して仏教の経典を学び、中国へ持ち帰りました。翻訳を通して、遠い地域の知識をつなぎました。","📚","図鑑"
"マンサ・ムーサ","まんさ・むーさ","交易と王国の時代","西アフリカ","マリ帝国の王","マリ帝国の王で、金の交易とイスラム文化を背景に国を豊かにしました。メッカ巡礼で西アフリカの富を世界に知らせました。","💰","図鑑"
"チンギス・ハン","ちんぎす・はん","交易と王国の時代","モンゴル高原","モンゴル帝国を築いた人","モンゴルの諸部族をまとめ、広い帝国を築きました。征服は大きな被害も生みましたが、ユーラシアの交流も強まりました。","🐎","図鑑"
"イブン・バットゥータ","いぶん・ばっとぅーた","交易と王国の時代","イスラム世界","広い世界を旅した学者","北アフリカからアジアまで旅をし、各地の社会を記録しました。交易路で結ばれた中世世界の広さを伝えています。","🧭","図鑑"
"鄭和","ていわ","大航海と出会いの時代","中国・インド洋","大船団を率いた航海者","明の時代に大船団を率いてインド洋へ航海しました。中国と東南アジア、インド、アフリカ東岸の交流を示す人物です。","⛵","図鑑"
"クリストファー・コロンブス","くりすとふぁー・ころんぶす","大航海と出会いの時代","大西洋","大西洋を渡った航海者","1492年に大西洋を渡りました。その航海は世界の結びつきを変えましたが、アメリカ先住民への支配と被害にもつながりました。","⛵","図鑑"
"バルトロメ・デ・ラス・カサス","ばるとろめ・で・らす・かさす","大航海と出会いの時代","スペイン領アメリカ","先住民の苦しみを訴えた人","スペイン人の聖職者で、植民地で先住民が受けた暴力や搾取を強く批判しました。支配を見直す声を残しました。","🕊️","図鑑"
"ジョージ・ワシントン","じょーじ・わしんとん","革命と工場の時代","北アメリカ","アメリカ独立を導いた人","独立戦争の司令官となり、のちにアメリカ合衆国初代大統領になりました。新しい共和国づくりに関わりました。","🗽","図鑑"
"ナポレオン","なぽれおん","革命と工場の時代","フランス・ヨーロッパ","ヨーロッパを動かした指導者","フランス革命後に権力を持ち、ヨーロッパ各地へ戦争を広げました。ナポレオン法典は近代の法律にも影響しました。","⚔️","図鑑"
"シモン・ボリバル","しもん・ぼりばる","革命と工場の時代","南アメリカ","独立運動を進めた人","南アメリカでスペインからの独立を進めました。多くの地域の自由を求めましたが、独立後の国づくりには難しさも残りました。","🗽","図鑑"
"ジェームズ・ワット","じぇーむず・わっと","革命と工場の時代","イギリス","蒸気機関を改良した発明家","蒸気機関を改良し、工場や交通の発展に大きく関わりました。産業革命でくらしと仕事が変わるきっかけになりました。","⚙️","図鑑"
"フローレンス・ナイチンゲール","ふろーれんす・ないちんげーる","世界が深く結びついた時代","イギリス","看護を変えた人","戦場の病院で衛生と記録を重視し、近代看護を広げました。医療を経験だけでなくデータで改善する考えも示しました。","🩺","図鑑"
"チャールズ・ダーウィン","ちゃーるず・だーうぃん","世界が深く結びついた時代","イギリス","進化論を示した科学者","生き物が長い時間をかけて変化するしくみを研究しました。科学の考え方を広げ、自然を見る目を変えました。","🔬","図鑑"
"マハトマ・ガンディー","まはとま・がんでぃー","世界が深く結びついた時代","インド","非暴力で独立を求めた人","インドで非暴力の抵抗を進め、イギリス支配からの独立運動を導きました。平和的な社会運動に影響を与えました。","🕊️","図鑑"
"孫文","そんぶん","世界が深く結びついた時代","中国","近代中国の革命家","清を倒して新しい国を作ろうとし、辛亥革命に関わりました。民族、民権、民生を掲げ、近代中国の出発点を作りました。","📜","図鑑"
"アルベルト・アインシュタイン","あるべると・あいんしゅたいん","二つの世界大戦の時代","ヨーロッパ・アメリカ","物理学を変えた科学者","相対性理論で時間や空間の見方を変えました。戦争と核兵器の時代に、科学者の責任についても考えさせる人物です。","🔬","図鑑"
"ネルソン・マンデラ","ねるそん・まんでら","今につながる時代","南アフリカ","差別とたたかった指導者","アパルトヘイトに反対して長く投獄されました。解放後は大統領となり、和解を大切にした国づくりを進めました。","🕊️","図鑑"
"マーティン・ルーサー・キング・ジュニア","まーてぃん・るーさー・きんぐ・じゅにあ","今につながる時代","アメリカ","公民権運動の指導者","人種差別をなくすため、非暴力の運動を進めました。平等な権利を求める演説と行動は世界に深く影響しました。","🕊️","図鑑"
"ワンガリ・マータイ","わんがり・まーたい","今につながる時代","ケニア","木を植える環境運動家","ケニアでグリーンベルト運動を進め、植林と女性の生活向上を結びつけました。環境と平和を考える手がかりです。","🌱","図鑑"
"マララ・ユスフザイ","まらら・ゆすふざい","今につながる時代","パキスタン","教育の権利を訴える人","女の子が学ぶ権利を訴え、暴力を受けても発信を続けました。子どもと教育の権利を世界に広く考えさせました。","📚","図鑑"
"ナルメル","ナルメル","最初の文明の時代","古代エジプト","王権と建築を示す人","ナルメルは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"メネス","メネス","最初の文明の時代","古代エジプト","王権と建築を示す人","メネスは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ジェセル","ジェセル","最初の文明の時代","古代エジプト","王権と建築を示す人","ジェセルは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"スネフェル","スネフェル","最初の文明の時代","古代エジプト","王権と建築を示す人","スネフェルは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"カフラー","カフラー","最初の文明の時代","古代エジプト","王権と建築を示す人","カフラーは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"メンカウラー","メンカウラー","最初の文明の時代","古代エジプト","王権と建築を示す人","メンカウラーは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ペピ2世","ペピ2世","最初の文明の時代","古代エジプト","王権と建築を示す人","ペピ2世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"メントゥホテプ2世","メントゥホテプ2世","最初の文明の時代","古代エジプト","王権と建築を示す人","メントゥホテプ2世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"アメンエムハト1世","アメンエムハト1世","最初の文明の時代","古代エジプト","王権と建築を示す人","アメンエムハト1世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"センウセレト3世","センウセレト3世","最初の文明の時代","古代エジプト","王権と建築を示す人","センウセレト3世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ハトシェプスト","ハトシェプスト","最初の文明の時代","古代エジプト","王権と建築を示す人","ハトシェプストは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"トトメス3世","トトメス3世","最初の文明の時代","古代エジプト","王権と建築を示す人","トトメス3世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"アメンホテプ3世","アメンホテプ3世","最初の文明の時代","古代エジプト","王権と建築を示す人","アメンホテプ3世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"アクエンアテン","アクエンアテン","最初の文明の時代","古代エジプト","王権と建築を示す人","アクエンアテンは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ネフェルティティ","ネフェルティティ","最初の文明の時代","古代エジプト","王権と建築を示す人","ネフェルティティは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ツタンカーメン","ツタンカーメン","最初の文明の時代","古代エジプト","王権と建築を示す人","ツタンカーメンは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"アイ","アイ","最初の文明の時代","古代エジプト","王権と建築を示す人","アイは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ホルエムヘブ","ホルエムヘブ","最初の文明の時代","古代エジプト","王権と建築を示す人","ホルエムヘブは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"セティ1世","セティ1世","最初の文明の時代","古代エジプト","王権と建築を示す人","セティ1世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ラムセス2世","ラムセス2世","最初の文明の時代","古代エジプト","王権と建築を示す人","ラムセス2世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","図鑑"
"ラムセス3世","ラムセス3世","最初の文明の時代","古代エジプト","王権と建築を示す人","ラムセス3世は古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","カタログのみ"
"イムホテプ","イムホテプ","最初の文明の時代","古代エジプト","王権と建築を示す人","イムホテプは古代エジプトでナイル川流域の王権、神殿、墓、文字文化に関わりました。巨大な建築や記録から、都市と国家のしくみが見えてきます。","👑","カタログのみ"
"サルゴン","サルゴン","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","サルゴンはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"エンヘドゥアンナ","エンヘドゥアンナ","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","エンヘドゥアンナはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ウルナンム","ウルナンム","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ウルナンムはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"グデア","グデア","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","グデアはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"シュルギ","シュルギ","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","シュルギはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"リムシン","リムシン","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","リムシンはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"シャムシアダド1世","シャムシアダド1世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","シャムシアダド1世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ジムリリム","ジムリリム","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ジムリリムはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ティグラトピレセル1世","ティグラトピレセル1世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ティグラトピレセル1世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"アッシュルナツィルパル2世","アッシュルナツィルパル2世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","アッシュルナツィルパル2世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"シャルマネセル3世","シャルマネセル3世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","シャルマネセル3世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"サルゴン2世","サルゴン2世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","サルゴン2世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"センナケリブ","センナケリブ","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","センナケリブはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"エサルハドン","エサルハドン","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","エサルハドンはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"アッシュルバニパル","アッシュルバニパル","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","アッシュルバニパルはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ナボポラッサル","ナボポラッサル","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ナボポラッサルはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ネブカドネザル2世","ネブカドネザル2世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ネブカドネザル2世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ナボニドス","ナボニドス","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ナボニドスはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ベルシャザル","ベルシャザル","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ベルシャザルはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ヒラム1世","ヒラム1世","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ヒラム1世はメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","図鑑"
"ディド","ディド","最初の文明の時代","メソポタミアと西アジア","都市と文字を動かした人","ディドはメソポタミアと西アジアで都市国家、法律、楔形文字、軍事、交易に関わりました。川の文明で人々をまとめるしくみが育ったことを示します。","📜","カタログのみ"
"ソロン","ソロン","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","ソロンは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
"クレイステネス","クレイステネス","古代の大国の時代","古代ギリシャ","政治と学問を広げた人","クレイステネスは古代ギリシャで都市国家の政治、哲学、数学、医学、文学に関わりました。話し合い、学び、芸術が後の世界へ広がる出発点になりました。","🏛️","図鑑"
